100,8
101,4
102,8
103,3
104,7
105,7
106,9
107,3
108,9
109,3
110,5
111,2
112,8
113,5
114,4
115,5
116,7
117,8
118,9
119,2
120,9
121,3
122,3
123,9
124,1
125,4
126,5
127,5
128,0
129,8
130,5
131,9
132,9
133,1
134,0
135,6
136,4
137,3
138,1
139,6
140,2
141,2
142,4
143,6
144,7
145,9
146,7
147,1
148,3
149,0
150,6
151,7
152,5
153,6
154,4
155,5
156,6
157,3
158,5
159,5
160,0
161,1
162,2
163,0
164,0
165,2
166,1
167,7
168,6
169,4
170,1
171,4
172,2
173,3
174,5
175,9
176,3
177,1
178,5
179,7
180,2
181,0
182,1
183,5
184,2
185,2
186,0
187,7
188,6
189,1
190,6
191,9
192,1
193,9
194,8
195,5
196,3
197,0
198,9
199,6
